"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2019,"1001",1,3,"Divendres",35326
2019,"1001",1,4,"Dissabte",25876
2019,"1001",1,5,"Diumenge",20953
2019,"1001",2,1,"Dilluns",34123
2019,"1001",2,2,"Laborable",33742
2019,"1001",2,3,"Divendres",36548
2019,"1001",2,4,"Dissabte",26334
2019,"1001",2,5,"Diumenge",21625
2019,"1001",3,1,"Dilluns",34232
2019,"1001",3,2,"Laborable",34631
2019,"1001",3,3,"Divendres",36891
2019,"1001",3,4,"Dissabte",26473
2019,"1001",3,5,"Diumenge",23086
2019,"1001",4,1,"Dilluns",34048
2019,"1001",4,2,"Laborable",34494
2019,"1001",4,3,"Divendres",37190
2019,"1001",4,4,"Dissabte",25725
2019,"1001",4,5,"Diumenge",20888
2019,"1001",5,1,"Dilluns",34928
2019,"1001",5,2,"Laborable",35206
2019,"1001",5,3,"Divendres",36598
2019,"1001",5,4,"Dissabte",26240
2019,"1001",5,5,"Diumenge",23067
2019,"1001",6,1,"Dilluns",35023
2019,"1001",6,2,"Laborable",36007
2019,"1001",6,3,"Divendres",37496
2019,"1001",6,4,"Dissabte",24614
2019,"1001",6,5,"Diumenge",21990
2019,"1001",7,1,"Dilluns",34832
2019,"1001",7,2,"Laborable",35868
2019,"1001",7,3,"Divendres",36381
2019,"1001",7,4,"Dissabte",22160
2019,"1001",7,5,"Diumenge",21910
2019,"1001",8,1,"Dilluns",26307
2019,"1001",8,2,"Laborable",26671
2019,"1001",8,3,"Divendres",27172
2019,"1001",8,4,"Dissabte",18986
2019,"1001",8,5,"Diumenge",18168
2019,"1001",9,1,"Dilluns",35208
2019,"1001",9,2,"Laborable",35164
2019,"1001",9,3,"Divendres",36853
2019,"1001",9,4,"Dissabte",23989
2019,"1001",9,5,"Diumenge",22931
2019,"1001",10,1,"Dilluns",31440
2019,"1001",10,2,"Laborable",34218
2019,"1001",10,3,"Divendres",31904
2019,"1001",10,4,"Dissabte",25000
2019,"1001",10,5,"Diumenge",23315
2019,"1001",11,1,"Dilluns",33897
