"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2018,"10009",1,3,"Divendres",8004
2018,"10009",1,4,"Dissabte",6080
2018,"10009",1,5,"Diumenge",3971
2018,"10009",2,1,"Dilluns",7786
2018,"10009",2,2,"Laborable",7955
2018,"10009",2,3,"Divendres",8758
2018,"10009",2,4,"Dissabte",6195
2018,"10009",2,5,"Diumenge",4199
2018,"10009",3,1,"Dilluns",8032
2018,"10009",3,2,"Laborable",8101
2018,"10009",3,3,"Divendres",8869
2018,"10009",3,4,"Dissabte",6106
2018,"10009",3,5,"Diumenge",4340
2018,"10009",4,1,"Dilluns",7621
2018,"10009",4,2,"Laborable",8283
2018,"10009",4,3,"Divendres",9084
2018,"10009",4,4,"Dissabte",6606
2018,"10009",4,5,"Diumenge",3944
2018,"10009",5,1,"Dilluns",8146
2018,"10009",5,2,"Laborable",8407
2018,"10009",5,3,"Divendres",9089
2018,"10009",5,4,"Dissabte",7067
2018,"10009",5,5,"Diumenge",4198
2018,"10009",6,1,"Dilluns",7968
2018,"10009",6,2,"Laborable",8411
2018,"10009",6,3,"Divendres",9406
2018,"10009",6,4,"Dissabte",6356
2018,"10009",6,5,"Diumenge",4107
2018,"10009",7,1,"Dilluns",7752
2018,"10009",7,2,"Laborable",7944
2018,"10009",7,3,"Divendres",8889
2018,"10009",7,4,"Dissabte",5649
2018,"10009",7,5,"Diumenge",3934
2018,"10009",8,1,"Dilluns",5755
2018,"10009",8,2,"Laborable",6124
2018,"10009",8,3,"Divendres",6510
2018,"10009",8,4,"Dissabte",4537
2018,"10009",8,5,"Diumenge",3366
2018,"10009",9,1,"Dilluns",7458
2018,"10009",9,2,"Laborable",8123
2018,"10009",9,3,"Divendres",8986
2018,"10009",9,4,"Dissabte",6003
2018,"10009",9,5,"Diumenge",4063
2018,"10009",10,1,"Dilluns",8067
2018,"10009",10,2,"Laborable",8528
2018,"10009",10,3,"Divendres",9301
2018,"10009",10,4,"Dissabte",6560
2018,"10009",10,5,"Diumenge",4407
2018,"10009",11,1,"Dilluns",8094
2018,"10009",11,2,"Laborable",8088
2018,"10009",11,3,"Divendres",8732
2018,"10009",11,4,"Dissabte",6540
2018,"10009",11,5,"Diumenge",4398
2018,"10009",12,1,"Dilluns",7988
2018,"10009",12,2,"Laborable",8584
2018,"10009",12,3,"Divendres",7807
2018,"10009",12,4,"Dissabte",6751
2018,"10009",12,5,"Diumenge",4536
2018,"1001",1,1,"Dilluns",34153
2018,"1001",1,2,"Laborable",34604
2018,"1001",1,3,"Divendres",35051
2018,"1001",1,4,"Dissabte",28201
2018,"1001",1,5,"Diumenge",21212
2018,"1001",2,1,"Dilluns",33888
2018,"1001",2,2,"Laborable",33875
2018,"1001",2,3,"Divendres",37167
2018,"1001",2,4,"Dissabte",26400
2018,"1001",2,5,"Diumenge",21457
2018,"1001",3,1,"Dilluns",34284
2018,"1001",3,2,"Laborable",34212
2018,"1001",3,3,"Divendres",38000
2018,"1001",3,4,"Dissabte",24833
2018,"1001",3,5,"Diumenge",21010
2018,"1001",4,1,"Dilluns",33949
2018,"1001",4,2,"Laborable",36181
2018,"1001",4,3,"Divendres",37853
2018,"1001",4,4,"Dissabte",26975
2018,"1001",4,5,"Diumenge",21189
2018,"1001",5,1,"Dilluns",35024
2018,"1001",5,2,"Laborable",36143
2018,"1001",5,3,"Divendres",37930
2018,"1001",5,4,"Dissabte",26946
2018,"1001",5,5,"Diumenge",22329
2018,"1001",6,1,"Dilluns",36318
2018,"1001",6,2,"Laborable",36872
2018,"1001",6,3,"Divendres",38688
2018,"1001",6,4,"Dissabte",23669
2018,"1001",6,5,"Diumenge",22809
2018,"1001",7,1,"Dilluns",36587
2018,"1001",7,2,"Laborable",36718
2018,"1001",7,3,"Divendres",37595
2018,"1001",7,4,"Dissabte",22900
2018,"1001",7,5,"Diumenge",22933
2018,"1001",8,1,"Dilluns",27185
2018,"1001",8,2,"Laborable",27503
2018,"1001",8,3,"Divendres",26941
2018,"1001",8,4,"Dissabte",18352
2018,"1001",8,5,"Diumenge",16970
2018,"1001",9,1,"Dilluns","Mesura no disponible"
2018,"1001",9,2,"Laborable","Mesura no disponible"
2018,"1001",9,3,"Divendres","Mesura no disponible"
2018,"1001",9,4,"Dissabte","Mesura no disponible"
2018,"1001",9,5,"Diumenge","Mesura no disponible"
2018,"1001",10,1,"Dilluns",34854
2018,"1001",10,2,"Laborable",35872
2018,"1001",10,3,"Divendres",37156
2018,"1001",10,4,"Dissabte",26423
2018,"1001",10,5,"Diumenge",22451
2018,"1001",11,1,"Dilluns",34092
2018,"1001",11,2,"Laborable",35880
2018,"1001",11,3,"Divendres",35256
2018,"1001",11,4,"Dissabte",25363
2018,"1001",11,5,"Diumenge",22937
2018,"1001",12,1,"Dilluns",31791
2018,"1001",12,2,"Laborable",35932
2018,"1001",12,3,"Divendres",30193
2018,"1001",12,4,"Dissabte",28459
2018,"1001",12,5,"Diumenge",22254
2018,"10010",1,1,"Dilluns",10718
2018,"10010",1,2,"Laborable",10626
2018,"10010",1,3,"Divendres",11004
2018,"10010",1,4,"Dissabte",8229
2018,"10010",1,5,"Diumenge",5940
2018,"10010",2,1,"Dilluns",10715
2018,"10010",2,2,"Laborable",11091
2018,"10010",2,3,"Divendres",11602
2018,"10010",2,4,"Dissabte",8115
2018,"10010",2,5,"Diumenge",5089
2018,"10010",3,1,"Dilluns",10817
2018,"10010",3,2,"Laborable",11057
2018,"10010",3,3,"Divendres",11743
2018,"10010",3,4,"Dissabte",7680
2018,"10010",3,5,"Diumenge",5085
2018,"10010",4,1,"Dilluns",10554
2018,"10010",4,2,"Laborable",11339
2018,"10010",4,3,"Divendres",11725
2018,"10010",4,4,"Dissabte",8145
2018,"10010",4,5,"Diumenge",4791
2018,"10010",5,1,"Dilluns",11361
2018,"10010",5,2,"Laborable",11596
2018,"10010",5,3,"Divendres",11950
2018,"10010",5,4,"Dissabte",8329
2018,"10010",5,5,"Diumenge",5385
2018,"10010",6,1,"Dilluns",10722
2018,"10010",6,2,"Laborable",11510
2018,"10010",6,3,"Divendres",11619
2018,"10010",6,4,"Dissabte",7674
2018,"10010",6,5,"Diumenge",5043
2018,"10010",7,1,"Dilluns",11195
2018,"10010",7,2,"Laborable",11146
2018,"10010",7,3,"Divendres",11269
2018,"10010",7,4,"Dissabte",7199
2018,"10010",7,5,"Diumenge",4816
2018,"10010",8,1,"Dilluns",8237
2018,"10010",8,2,"Laborable",8544
2018,"10010",8,3,"Divendres",8753
2018,"10010",8,4,"Dissabte",6280
2018,"10010",8,5,"Diumenge",4250
2018,"10010",9,1,"Dilluns",10806
2018,"10010",9,2,"Laborable",11436
2018,"10010",9,3,"Divendres",11910
2018,"10010",9,4,"Dissabte",7774
2018,"10010",9,5,"Diumenge",5173
2018,"10010",10,1,"Dilluns",11243
2018,"10010",10,2,"Laborable",11562
2018,"10010",10,3,"Divendres",11954
2018,"10010",10,4,"Dissabte",8253
2018,"10010",10,5,"Diumenge",5251
2018,"10010",11,1,"Dilluns",11240
2018,"10010",11,2,"Laborable",11296
2018,"10010",11,3,"Divendres",11544
2018,"10010",11,4,"Dissabte",8371
2018,"10010",11,5,"Diumenge",5255
2018,"10010",12,1,"Dilluns",10646
2018,"10010",12,2,"Laborable",11703
2018,"10010",12,3,"Divendres",10899
2018,"10010",12,4,"Dissabte",8651
2018,"10010",12,5,"Diumenge",5739
2018,"10011",1,1,"Dilluns",3358
2018,"10011",1,2,"Laborable",3466
2018,"10011",1,3,"Divendres",3798
2018,"10011",1,4,"Dissabte",2534
2018,"10011",1,5,"Diumenge",1648
2018,"10011",2,1,"Dilluns",3634
2018,"10011",2,2,"Laborable",3536
2018,"10011",2,3,"Divendres",3853
2018,"10011",2,4,"Dissabte",2533
2018,"10011",2,5,"Diumenge",1679
2018,"10011",3,1,"Dilluns",3470
2018,"10011",3,2,"Laborable",3476
2018,"10011",3,3,"Divendres",3867
2018,"10011",3,4,"Dissabte",2411
2018,"10011",3,5,"Diumenge",1648
2018,"10011",4,1,"Dilluns",3414
2018,"10011",4,2,"Laborable",3539
2018,"10011",4,3,"Divendres",3907
2018,"10011",4,4,"Dissabte",2573
2018,"10011",4,5,"Diumenge",1560
2018,"10011",5,1,"Dilluns",3506
2018,"10011",5,2,"Laborable",3572
2018,"10011",5,3,"Divendres",4023
2018,"10011",5,4,"Dissabte",2704
2018,"10011",5,5,"Diumenge",1724
2018,"10011",6,1,"Dilluns",3368
2018,"10011",6,2,"Laborable",3516
2018,"10011",6,3,"Divendres",3803
2018,"10011",6,4,"Dissabte",2421
2018,"10011",6,5,"Diumenge",1529
2018,"10011",7,1,"Dilluns",3305
2018,"10011",7,2,"Laborable",3341
2018,"10011",7,3,"Divendres",3667
2018,"10011",7,4,"Dissabte",2223
2018,"10011",7,5,"Diumenge",1662
2018,"10011",8,1,"Dilluns",2338
2018,"10011",8,2,"Laborable",2511
2018,"10011",8,3,"Divendres",2720
2018,"10011",8,4,"Dissabte",1769
2018,"10011",8,5,"Diumenge",1367
