"Id_aforament","Desc_aforament","Codi_tipus_aforament","Desc_tipus_aforament","Num_carrils","Codi_districte","Codi_barri","Codi_tipus_equip_mesura","Desc_tipus_equip_mesura","Longitud","Latitud","X_ETRS89","Y_ETRS89"
"8027","GRAN DE GRÀCIA - RAMBLA DEL PRAT (sentit muntanya)",1,"Trànsit",1,6,31,1,"Espira",2.152717236,41.402313324,429176.94,4583765.55
"8028","VIA AUGUSTA - DOCTOR ROUX (Pujada)",1,"Trànsit",3,5,24,1,"Espira",2.12952393,41.397803871,427233.19,4583284.14
"8031","CAN RÀBIA - RDA. GENERAL MITRE (Baixada)",1,"Trànsit",2,5,24,1,"Espira",2.133954988,41.393817967,427599.18,4582837.92
"8032","RIERA DE CASSOLES - LES CAROLINES (Pujada)",1,"Trànsit",2,5,27,2,"Infraroig",2.1500568,41.402964869,428955.26,4583840.06
"8033","VERGÓS - RAFAEL BATLLE (Besòs)",1,"Trànsit",1,5,23,2,"Infraroig",2.126459806,41.396627362,426975.73,4583156.10
"8034","AV. REPÚBLICA ARGENTINA - BALLESTER (sentit mar)",1,"Trànsit",3,6,28,1,"Espira",2.147671757,41.407991851,428761.39,4584400.11
"8035","PG. SANT JOAN BOSCO - F. CARBONELL (Baixada)",1,"Trànsit",1,5,23,1,"Espira",2.128276985,41.39382629,427124.51,4582843.60
"8036","VIA AUGUSTA - ARIBAU (Sentit Pl. Molina)",1,"Trànsit",3,5,23,1,"Espira",2.145477374,41.400271187,428569.52,4583544.78
"8037","VIA AUGUSTA - BRUSI (Sentit Rda. General Mitre)",1,"Trànsit",3,5,26,1,"Espira",2.145420342,41.400338943,428564.83,4583552.35
"8038","VIA AUGUSTA - LUÍS ANTÚNEZ (Pujada)",1,"Trànsit",3,6,31,1,"Espira",2.154013818,41.397809895,429280.43,4583264.53
"8039","VIA AUGUSTA - LA GRANADA DEL PENEDÉS (Baixada)",1,"Trànsit",2,6,31,1,"Espira",2.154109318,41.397512478,429288.09,4583231.43
"8040","VERGÒS - RAFAEL BATLLE (Llobregat)",1,"Trànsit",1,5,23,1,"Espira",2.126392316,41.396637378,426970.10,4583157.27
"8041","PG. SANT JOAN BOSCO - PL. PRAT DE LA RIBA (Pujada)",1,"Trànsit",3,4,19,1,"Espira",2.128407142,41.393824238,427135.39,4582843.26
"8042","MUNTANER - ARIMON (sentit mar)",1,"Trànsit",3,5,25,1,"Espira",2.136709771,41.403887006,427840.62,4583953.47
"8043","PG. REINA ELISENDA - PARRÒQUIA (Besòs)",1,"Trànsit",2,5,23,1,"Espira",2.121025809,41.39980444,426525.05,4583513.41
"8044","PG. REINA ELISENDA - MAJOR DE SARRIÀ (Llobregat)",1,"Trànsit",2,5,23,1,"Espira",2.120993526,41.399851411,426522.40,4583518.65
"8045","PG. SANT GERVASI - PL. BONANOVA (Besòs)",1,"Trànsit",2,5,25,1,"Espira",2.134041446,41.407120709,427621.18,4584314.70
"8046","PG. SANT GERVASI - TEODORA LAMADRID (Llobregat)",1,"Trànsit",2,5,25,1,"Espira",2.133975325,41.407193992,427615.73,4584322.89
"8047","AV. DE J.V. FOIX - MONESTIR (Mar)",1,"Trànsit",1,5,23,1,"Espira",2.117353173,41.3991127,426217.26,4583439.74
"8048","AV. DE J.V. FOIX - MONESTIR (Muntanya)",1,"Trànsit",2,5,23,1,"Espira",2.11675614,41.399501845,426167.79,4583483.45
"8049","BISBE CATALÀ - BOSCH I GIMPERA (Besòs)",1,"Trànsit",1,5,23,1,"Espira",2.115253681,41.396708901,426039.03,4583174.66
"8050","BISBE CATALÀ - BOSCH I GIMPERA (Llobregat)",1,"Trànsit",2,5,23,1,"Espira",2.11441068,41.396113868,425967.88,4583109.32
"8051","AV. J.V.FOIX - CARDENAL VIVES I TUTOR (Pujada)",1,"Trànsit",1,5,23,1,"Espira",2.120708204,41.394572922,426492.60,4582932.88
"8052","AV. DE PEDRALBES - C. DE BOSCH I GIMPERA (Pujada)",1,"Trànsit",2,4,21,1,"Espira",2.121048194,41.393927383,426520.30,4582860.93
"8053","BALMES - CASTANYER (Pujada)",1,"Trànsit",2,5,23,1,"Espira",2.138267418,41.407576437,427974.90,4584361.77
"8054","EDUARDO CONDE - CARDENAL VIVES I TUTÓ (sentit muntanya)",1,"Trànsit",1,5,23,1,"Espira",2.121025736,41.394648001,426519.23,4582940.95
"8055","VERGÓS - PL. ARTÓS (Besòs)",1,"Trànsit",2,5,23,1,"Espira",2.12634,41.396583,426975.58,4583158.91
"8-SMD-1","RONDA DE DALT - AV. ESTATUT (Llobregat)",3,"Rondes",3,0,0,1,"Espira",2.151304552,41.437744847,429097.40,4587700.28
"8-SMD-2","RONDA DE DALT - AV. ESTATUT (Trinitat)",3,"Rondes",3,0,0,1,"Espira",2.151304552,41.437744847,429097.40,4587700.28
"9002","AV. D'ICÀRIA - TRIAS FARGAS (Besòs)",1,"Trànsit",1,10,67,1,"Espira",2.193872614,41.3884078,432602.72,4582188.95
"9003","AV. LITORAL - ARQUITECTE SERT (sentit Besòs)",1,"Trànsit",3,10,67,1,"Espira",2.200502744,41.390487438,433159.17,4582414.69
"9004","LLULL- MARINA (sentit Besòs)",1,"Trànsit",2,10,66,1,"Espira",2.190726641,41.392622624,432344.06,4582659.32
"9005","RAMON TRIAS FARGAS - DR. TRUETA (sentit mar)",1,"Trànsit",2,10,67,2,"Infraroig",2.191263026,41.389815372,432385.99,4582347.25
"9006","MARINA - SALVADOR ESPRIU (Pujada)",1,"Trànsit",2,10,67,1,"Espira",2.195093176,41.388712468,432705.08,4582221.83
